IATA,ICAO,Airline,Country/Region
,ACS,Aircraft Sales and Services,Pakistan
,ABS,Air Central,United States
,ADT,Arrendaminetos y Transportes Turisticos,Mexico
,ADZ,Avio Delta,Bulgaria
,AED,Aie Experience Flight,United Kingdom
,AFM,AEROSPEED FORMATION ET MAINTENANCE,France
,MRY,Air Marine,France
,PNK,Air Pink,Serbia
,PXG,Aitheras Aviation Group,United States
,AFN,African International Airlines,Lesotho
,ACC,Airspeed Charter,Jamaica
,PNX,AIS Airlines,Netherlands
,AVD,"Álamo Aviación, S.L.",Spain
,FSY,Algonquin Airlink,Canada
,TTX,Alliance Air Charters,United States
,ALN,"Alpha Jet, S.R.O.",Slovakia
,APN,Alpine Airlines,France
,BAH,The Amiri Flight,Bahrain
,TLB,Atlantique Air Assistance,France
,UJX,Atlas Ukraine Airlines,Ukraine
,AGM,Aviation West Charters,United States
,AZB,Azamat,Kazakhstan
,NGF,Air Charity Network,United States
,WFT,Aircharters Worldwide,United States
,AHS,AHS Air International,Pakistan
,ROO,Aero Roa,Mexico
,AWF,Aeroforward,United States
,SUP,Aeronautical Charters,United States
,PSO,Aerotaxis Pegaso,Mexico
,VLB,Air Volta,Bulgaria
,FCJ,AirSprint US,United States
,TEW,Airteam Charter,South Africa
,STT,Alpha Star Charter,Saudi Arabia
,LBZ,Angkasa Super Service,Indonesia
,HEZ,Arrow Aviation,Israel
,UAH,"Air Experience Flight, Cranwell",United Kingdom
,RVQ,Aero Jet International,United States
,ASK,Aerosky,Spain
,AEH,Aero4m,Slovenia
,ERO,Aeroecom,Venezuela
,NKY,Aeromonkey,Mexico
,AWP,Aeroworld Pakistan,Pakistan
,AGA,AG Air,Georgia
,ABZ,Air Ambulance Services,Bahamas
,CNM,Air China Inner Mongolia,China
,VRE,Air Côte d'Ivoire,Ivory Coast
,AWL,Air Walser,Malta
,AXY,Air X Charter,Malta
,OES,ART Aviation,Austria
,ASF,Austrian Air Force,Austria
,AVG,Aviation Legacy,Gambia
,AAD,Aero Aviation Centre Ltd.,Canada
,SII,Aero Servicios Ejecutivos Internacionales,Mexico
,BZS,Aero Biniza,Mexico
,,Aero Comondu,Mexico
,AET,Aero-Palma,Spain
,ABM,Aero Albatros,Spain
,AAM,Aim Air,Moldova
,AAO,Atlantis Airlines (USA),United States
,AAP,Aerovista Airlines,Kyrgyzstan
,AAU,Australia Asia Airlines,Australia
,AAV,Astro Air International,United States
,AAX,Afric'air Express,Côte d'Ivoire
,BRL,Air Brasd'or,Canada
,AFH,Air Fecteau,Canada
,BRM,Air 500,Canada
,AAG,Atlantic Flight Training,United Kingdom
,ACS,Air Cess,Liberia
,ADT,Air Dorval,Canada
,AHN,Air Hungaria,Hungary
,AHR,Air Adriatic,Croatia
,AHS,Air Viggi San Raffaele,Italy
,AAI,Air Aurora,United States
,ACU,Air Cargo Transportation System,Kenya
,ACV,Air Charter Service,United Kingdom
,ADC,Air Atlantic Dominicana,Dominican Republic
,AEQ,Air Express,Sweden
,ASW,Air Southwest Ltd.,Canada
,ASX,Air Special,Czech Republic
,SFB,Air Sofia,Bulgaria
,BRF,Air Bravo,Uganda
,ACG,Air Partner,United Kingdom
,VSG,AirClass Airways,Spain
,ALM,Air ALM,Netherlands Antilles
,ALN,Air Lincoln,United States
,ACM,Air Caledonia,Canada
,AGM,Air Guam,United States
,ALU,Air Luxor STP,São Tomé and Príncipe
,AFV,Air Afrique Vacancies,Côte d'Ivoire
,ACH,Air Cargo Plus,Liberia
,AAT,Air Central Asia,Kyrgyzstan
,AFS,Air Data,United Kingdom
,AHO,Air Hamburg,Germany
,AMG,Air Minas Linhas Aéreas,Brazil
,TAH,Air Moorea,France
,ANV,Air Nevada,United States
,AOE,Air One Executive,Italy
,AEI,Air Poland,Poland
,AVZ,Air Valencia,Spain
,AMO,Air Montreal (Air Holdings Inc.),Canada
,AMR,Air Specialties Corporation,United States
,AMS,Air Muskoka,Canada
,AOJ,Avcon Jet,Austria
,AJU,Air Jetsul,Portugal
,AKA,Air Korea Co. Ltd.,Republic of Korea
,LIV,Air Livonia,Estonia
,ABN,Air Fret Senegal,Senegal
,LJA,Air Jamahiriya Company,Libya
,MVM,Air Cargo America,United States
,AMY,Air Ambar,Dominican Republic
,AOU,Air Tractor,Croatia
,APA,Air Park Aviation Ltd.,Canada
,APG,Air People International,Thailand
,ANB,Air Navigation And Trading Co. Ltd.,United Kingdom
,NGO,Air-Angol,Angola
,NGP,Air Nigeria,Nigeria
,SND,Air Samarkand,Uzbekistan
,SNY,Air Sandy,Canada
,AII,Air Integra,Canada
,BFF,Air Baffin,Canada
,BDM,Air Bandama,Ivory Coast
,ABT,Air Brousse,Canada
,APV,Air Plan International,Democratic Republic of the Congo
,ARX,"Air Xpress, Inc.",United States
,HTT,Air Tchad,Chad
,ARZ,Air Resorts,United States
,ASB,Air-Spray 1967 Ltd.,Canada
,ASC,Air Star Corporation,Canada
,AQN,Air Queensland,Australia
,ARC,Air Routing International Corp.,United States
,AIL,Air Illinois,United States
,AIG,Air Inter Gabon,Gabon
,ATJ,Air Traffic GmbH,Germany
,ATQ,Air Transport Schiphol,Netherlands
,ATS,Air Transport Service,Democratic Republic of the Congo
,AVG,Air Falcon,Djibouti
,AUX,Air Uganda International Ltd.,Uganda
,AIE,Air Inuit,Canada
,AIS,Air Sureste,Spain
,NSK,Air Intersalonika,Greece
,NTL,Air Anatolia,Turkey
,SGA,Air Saigon,Vietnam
,AFW,Afrique Regional Airways,Côte d'Ivoire
,ACX,Air Charters,Canada
,AWN,Air Niamey,Niger
,AWT,Air West,Canada
,AXD,Air Express,Sudan
,BSB,Air Wings,Moldova
,ANI,Air Atlantic (Nig) Limited,Nigeria
,AZF,Air Zermatt AG,Switzerland
,MHU,Air Memphis,Uganda
,MKH,Air Marrakech Service,Morocco
,AZX,Air Max Africa,Gabon
,ATA,Air Transport Association,United States
,XAC,Air Charter World,United States
,ATH,Air Travel Corp.,United States
,ASJ,Air Satellite,Canada
,ASN,Air and Sea Transport,Russia
,ASS,"Air Class, S.A. de C.V.",Mexico
,NPL,Air Nepal International,Nepal
,NPR,Air Napier,New Zealand
,WAM,Air Taxi & Cargo,Sudan
,RSM,Air Somalia,Somali Republic
,AWZ,AirWest,Sudan
,AAZ,Angus Aviation,Canada
,ABA,Artem-Avia,Ukraine
,ABB,African Business and Transportations,Democratic Republic of the Congo
,ABF,Aerial Oy,Finland
,ABK,Alberta Citylink,Canada
,ABO,APSA Colombia,Colombia
,ABZ,ATA Brasil,Brazil
,ACC,Avcard Services,United Kingdom
,ACY,Atlas Cargo Airlines,Morocco
,ADA,Airservices Australia,Australia
,ADB,Antonov Airlines,Ukraine
,ADG,Aerea Flying Training Organization,Spain
,ADI,Audeli Air,Spain
,ADL,Aero Dynamics,United Kingdom
,ADN,Aero-Dienst,Germany
,ADP,Aerodiplomatic,Mexico
,ADQ,Avion Taxi,Canada
,ADS,Aviones de Sonora,Mexico
,ADU,Airdeal Oy,Finland
,AEC,Aerocésar,Colombia
,AED,Aerotrans Airlines,Russia
,ADX,Anderson Aviation,United States
,AEI,Aeroexpreso Interamericano,Colombia
,AEJ,Air Express,Tanzania
,AEK,Aerocon,Bolivia
,AEM,Aero Madrid,Spain
,AEO,Aeroservicios Ejecutivos Del Occidente,Mexico
,AEP,Aerotec Escuela de Pilotos,Spain
,AAC,Army Air Corps,United Kingdom
,AEV,Aeroventas,Mexico
,AEX,Airway Express,United States
,AEZ,Aerial Transit,United States
,AFA,Alfa Air,Czech Republic
,UVS,Air Universal,Sierra Leone
,UVT,Auvia Air,Indonesia
,AFC,African West Air,Senegal
,AFE,Airfast Indonesia,Indonesia
,AFK,Africa Air Links,Sierra Leone
,AFO,Aero Empresa Mexicana,Mexico
,AFQ,Alba Servizi Aerotrasporti,Italy
,AFY,Africa Chartered Services,Nigeria
,AFZ,Africa Freight Services,Zambia
,AGA,Aeronaves Del Centro,Venezuela
,AGC,Arab Agricultural Aviation Company,Egypt
,AGF,Atlantic Gulf Airlines,United States
,AGG,Algoma Airways,Canada
,AGH,Altagna,France
,AGO,Angola Air Charter,Angola
,AGP,AERFI Group,Ireland
,AGU,Angara Airlines,Russia
,AGW,Aero Gambia,Gambia
,BLR,Atlantic Coast Airlines,United States
,BLZ,Aero Barloz,Mexico
,BNB,Aero Banobras,Mexico
,AGY,Aero Flight Service,United States
,AGZ,Agrolet-Mci,Slovakia
,AHC,Azal Avia Cargo,Azerbaijan
,AHE,"Airport Helicopter Basel, Muller & Co.",Switzerland
,CJE,Aeroservices Corporate,France
,AHF,Aspen Helicopters,United States
,AHG,Aerochago Airlines,Dominican Republic
,AHH,Airplanes Holdings,Ireland
,AHP,Aerochiapas,Mexico
,AIK,African Airlines International Limited,Kenya
,AIN,African International Airways,Eswatini
,AIU,Alicante Internacional Airlines,Spain
,THM,Airmark Aviation,Thailand
,AIR,Airlift International,United States
,AIT,Airest,Estonia
,AIV,Airvias S/A Linhas Aéreas,Brazil
,AIW,Atlantic Island Airways,Canada
,AIX,Aircruising Australia,Australia
,AIY,Aircrew Check and Training Australia,Australia
,AJA,Afghan Jet International Airlines,Afghanistan
,AJB,Aero JBR,Mexico
,AJE,Aero Jet Express,Mexico
,AJI,Ameristar Jet Charter,United States
,AJK,Allied Air,Nigeria
,AJO,Aero Ejecutivo,Mexico
,AJS,Aeroejecutivos Colombia,Colombia
,AJV,ANA & JP Express,Japan
,AJW,Alpha Jet International,United States
,AJY,AJet,Cyprus
,AKB,Aktjubavia,Kazakhstan
,AKC,Arca Aerovías Colombianas Ltda.,Colombia
,AKF,Anikay Air Company,Kyrgyzstan
,AKH,Akhal,Turkmenistan
,MNI,Aeromilenio,Mexico
,AKK,Aklak Air,Canada
,AKN,Alkan Air,Canada
,AKW,Angkor Airways,Cambodia
,AKZ,AK Navigator LLC,Kazakhstan
,ALB,Aero Albatros,Mexico
,ALD,Albion Aviation,United Kingdom
,ALE,Aeroalas Colombia,Colombia
,ALF,Allied Command Europe (Mobile Force),Belgium
,FYS,American Flyers,United States
,DFA,Aero Coach Aviation,United States
,ALG,Air Logistics,United States
,ALL,Aerovallarta,Mexico
,TND,Aero Taxis Cessna,Mexico
,TMP,Arizona Express Airlines,United States
,ALO,Allegheny Commuter Airlines,United States
,ALP,Allpoints Jet,China
,ALP,Alpliner AG,Switzerland
,ALQ,Altair Aviation (1986),Canada
,ALW,"Alas Nacionales, S.A.",Dominican Republic
,ALY,Alyeska Air Service,United States
,ALZ,Alta Flights (Charters) Ltd.,Canada
,AMA,ATMA,Kazakhstan
,AMD,Aerolíneas Medellín,Colombia
,AMF,Ameriflight,United States
,AMH,Alan Mann Helicopters Ltd.,United Kingdom
,AMJ,Aviation Amos,Canada
,AMK,Amerer Air,Austria
,AMM,Aeroputul International Marculesti,Moldova
,AMP,Aero Transporte S.A. (ATSA),Peru
,AMQ,Aeromedicare Ltd.,United Kingdom
,AMQ,Aircraft Management and Consulting,Poland
,AMZ,Amiya Airline,Nigeria
,ANC,Anglo Cargo,United Kingdom
,BRP,AeroBratsk,Russia
,ANH,Alajnihah for Air Transport,Libya
,ANM,Aerotransportacion de Norteamerica,Mexico
,ANM,"Antares Airtransport, Maintenance & Service GmbH",Germany
,ANQ,Aerolínea de Antioquia,Colombia
,ANW,"Aviación Del Noroeste, S.A. de C.V.",Mexico
,SAP,Avia Jaynar,Kazakhstan
,EMS,Aero Servicios Empresariales,Mexico
,AOA,"Alcon Servicios Aéreos, S.A. de C.V.",Mexico
,AOD,Aero Vodochody,Czech Republic
,AOF,Atair Pty Ltd.,South Africa
,MUN,Aeromundo Ejecutivo,Mexico
,MUR,Aerolínea Muri,Mexico
,AOI,"Astoria, Inc.",Canada
,NRO,Aero Rent JSC,Russia
,NRP,Aeronord-Grup,Moldova
,AOK,Aeroatlantico Colombia,Colombia
,AOL,Angkor Airlines,Cambodia
,AON,Aero Entreprise,France
,AOO,"As, Opened Joint Stock Company",Ukraine
,AOP,Aeropiloto,Portugal
,VIZ,Aerovis Airlines,Ukraine
,VJE,AvJet Routing,United Arab Emirates
,VGF,Aerovista Gulf Express,United Arab Emirates
,VER,Almaver,Mexico
,AOR,Afro International Ent. Limited,Nigeria
,SMX,Alitalia Express,Italy
,AOV,Aero Vision,France
,AOX,Aerotaxi Del Valle,Colombia
,APC,"Airpac Airlines, Inc.",United States
,SVM,Aeroservicios Monterrey,Mexico
,APF,Amapola Flyg AB,Sweden
,APH,"Alpha Aviation, Inc.",United States
,API,"ASA Pesada, Lda.",Angola
,APJ,Peach Aviation,Japan
,PET,Aerotransporte Petrolero,Colombia
,BKL,Aircompany Barcol,Russia
,BLA,All Charter Limited,United Kingdom
,APL,"Appalachian Flying Service, Inc.",United States
,APM,"Airpac, Inc.",United States
,APO,Aeropro,Canada
,APP,AlpAvia d.o.o.,Slovenia
,APQ,Aspen Aviation,United States
,APU,"Aeropuma, S.A.",El Salvador
,APX,Apex Air Cargo,United States
,APY,APA Internacional,Dominican Republic
,AQA,"Aeroatlas, S.A.",Colombia
,AQL,Aquila Air Ltd.,Canada
,AQO,Aluminum Company Of America,United States
,AQT,Avioquintana,Mexico
,AQU,AirQuarius Aviation,South Africa
,AQZ,Aerodyne Charter Company,United States
,ARA,Arik Air,Nigeria
,ARB,Avia Air N.V.,Aruba
,ARH,Arrowhead Airways,United States
,ARI,Aero Vics,Mexico
,SUN,Antillana De Navegación Aérea,Dominican Republic
,SUO,Aeroservicios De San Luis,Mexico
,SUP,Aerosuper,Mexico
,ARK,Aero Link Air Services S.L.,Spain
,ARL,Airlec - Air Aquitaine Transport,France
,ARM,Aeromarket Express,Spain
,ARO,Arrow Aviation Ltd.,Canada
,KLD,Air Klaipėda,Lithuania
,ARQ,"Armstrong Air, Inc.",Canada
,ARS,Aeromet Servicios,Chile
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,Colombia
,ARV,Aravco Ltd.,United Kingdom
,ARW,Aria,France
,OST,Airline Alania,Russia
,HUC,Aerolíneas de Techuacán,Mexico
,HUT,Aerotransportes Huitzilin,Mexico
,HUY,Aero Transportes Del Humaya,Mexico
,ARY,Argosy Airways,United States
,ASF,"Air Schefferville, Inc.",Canada
,ASG,African Star Airways (PTY) Ltd.,South Africa
,ASI,"Aerosun International, Inc.",United States
,ASM,Awesome Flight Services (PTY) Ltd.,South Africa
,ASO,Aero Slovakia,Slovakia
,ASP,Airsprint,Canada
,ASR,"All Star Airlines, Inc.",United States
,AST,Aerolíneas Del Oeste,Mexico
,WAP,Arrow Panama,Panama
,ASV,Astravia-Bissau Air Transports Ltd.,Guinea-Bissau
,ATB,Atlantair Ltd.,Canada
,ATD,Aerotours Dominicana,Dominican Republic
,ATE,"Atlantis Transportation Services Ltd.",Canada
,ATG,Aerotranscargo,Moldova
,ATK,AeroTACA,Colombia
,ATL,Atlas Air Service AG,Germany
,CPV,Air Corporate,Italy
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,Colombia
,FEO,Aeroferinco,Mexico
,FES,Aero Taxis Y Servicios Alfe,Mexico
,FFA,Avialesookhrana,Russia
,FFB,Africair Service,Senegal
,ATR,Atlas Airlines,United States
,ATT,Aer Turas,Ireland
,ATU,Atlant Aerobatics Ltd.,Hungary
,ATV,Avanti Air,Germany
,ATW,Aero Trades (Western) Ltd.,Canada
,TUP,Aviastar-Tu,Russia
,TUR,ATUR,Ecuador
,TXU,ATESA Aerotaxis Ecuatorianos,Ecuador
,TXX,Austin Express,United States
,AUD,Audi Air Inc.,United States
,AUF,Augusta Air Luftfahrtunternehmen,Germany
,AUM,Air Atlantic Uruguay,Uruguay
,AUN,Aviones Unidos,Mexico
,AUP,Avia Business Group,Russia
,SVE,Aero Servicios Expecializados,Mexico
,AUU,"Aurora Aviation, Inc.",United States
,AUY,"Aerolíneas Uruguayas, S.A.",Uruguay
,AVF,Aviair Aviation Ltd.,Canada
,AVH,AV8 Helicopters,United Kingdom
,AVJ,Avia Traffic Company,Kyrgyzstan
,AVK,AV8 Helicopters,South Africa
,AVM,"Aviación Ejecutiva Mexicana, S.A.",Mexico
,AVO,Aviation at Work,South Africa
,AVP,Avcorp Registrations,United Kingdom
,AVP,Aviacion Corporativa de Peubla,Mexico
,LFP,Alfa Aerospace,Australia
,LFR,Atlantic Airfreight Aviation,São Tomé and Príncipe
,AVS,Avialsa T-35,Spain
,AVT,Asia Avia Airlines,Indonesia
,AVU,Avia Sud Aérotaxi,France
,AVV,Airvantage Incorporated,United States
,AVW,Aviator Airways,Greece
,AVX,Aviapaslauga,Lithuania
,YRG,Air Yugoslavia,Serbia
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie (ANAM),Ivory Coast
,BGF,Aviodetachment-28,Bulgaria
,BGG,Aero BG,Mexico
,BHC,Aerotaxis De La Bahia,Mexico
,BIV,Aviaservice,Georgia
,SZA,Aerolíneas de El Salvador,El Salvador
,AVY,"Aerovaradero, S.A.",Cuba
,AWB,"Airways International, Inc.",United States
,AWK,Airwork,New Zealand
,AWL,Australian Wetleasing,Australia
,AWO,Awood Air Ltd.,Canada
,AWR,Arctic Wings And Rotors Ltd.,Canada
,ISM,Auo Airclub AIST-M,Russia
,AWS,Arab Wings,Jordan
,AWV,"Airwave Transport, Inc.",Canada
,AWY,"Aeroway, S.L.",Spain
,AXH,Aeromexhaga,Mexico
,AXI,"Aeron International Airlines, Inc.",United States
,AXK,African Express Airways,Kenya
,AXN,Alexandair,Greece
,AXP,Aeromax,Spain
,BNI,Alberni Airways,Canada
,BNZ,Aerolíneas Bonanza,Mexico
,BOC,Aerobona,Mexico
,AXR,"Axel Rent, S.A.",Mexico
,AXS,Altus Airlines,United States
,AXV,Aviaxess,France
,AXX,Avioimpex A.D.p.o.,Macedonia
,AYD,Aladia Airlines,Mexico
,AYK,Aykavia Aircompany,Armenia
,AYM,"Airman, S.L.",Spain
,NPT,West Atlantic UK,United Kingdom
,GBN,Atlantic Airlines,Gabon
,HHA,Atlantic Airlines de Honduras,Honduras
,AYN,"Atlantic Airlines, S.A.",Nicaragua
,AYS,Awsaj Aviation Services,Libya
,AYT,Ayeet Aviation & Tourism,Israel
,AZK,Azalhelikopter,Azerbaijan
,AZL,Africa One,Zambia
,AZM,Aerocozumel,Mexico
,AZP,Arizona Pacific Airways,United States
,AZS,Aviacon Zitotrans Air Company,Russia
,AZT,"Azimut, S.A.",Spain
,AZV,Azov Avia Airlines,Ukraine
,MHC,Aero Jomacha,Mexico
,AZY,"Arizona Airways, Inc.",United States
,AZZ,Azza Transport,Sudan
,NAR,Air Continental Inc,United States
,NAU,Antanik-Air,Ukraine
,NER,Air Newark,United States
,NFF,Aircraft Support and Services,Lebanon
,OBA,Aerobanana,Mexico
,OBK,Amako Airlines,Nigeria
,NFS,Afrique Cargo Service Senegal,Senegal
,NGC,Angoservice,Angola
,NGE,Angel Airlines,Thailand
,NGF,Angel Flight America,United States
,OUL,Air Atonabee,Canada
,OVA,Aero Nova,Spain
,XPE,Amira Air,Austria
,XSS,Aero Express Intercontinental,Mexico
,TLR,Air Libya Tibesti,Libya
,OVC,Aerovic,Ecuador
,RVE,Airventure,Belgium
,RVI,Aero Servicios,Mexico
,RVL,Airvallee,Italy
,OVE,Aeromover,Mexico
,OVI,Aerovías Ejecutivas,Mexico
,PTD,Aero Servicio Pity,Mexico
,PTE,Aero Copter,Mexico
,PLL,Air Pal,Spain
,PLM,Air Pullmantur,Spain
,PSG,Aviones Para Servirle,Mexico
,SLU,Avio Sluzba,Serbia
,SCU,Air Scorpio,Bulgaria
,SIP,Air Spirit,United States
,BMV,Alatau Airlines,Kazakhstan
,GUG,Aviateca,Guatemala
,PXX,Aroostook Aviation,United States
,PYC,Aeropycsa,Mexico
,PVK,Association of Private Pilots of Kazakhstan,Kazakhstan
,BAS,Aero Services,Barbados
,BBT,Air Bashkortostan,Russia
,MCY,Ambulance Air Africa,South Africa
,PUE,Aeropuelche,Chile
,PUT,Aeroput,Serbia
,XCT,Aero Costa Taxi Aéreo,Mexico
,VRO,Aerovitro,Mexico
,VRI,Aerotaxi Villa Rica,Mexico
,VEG,Aerovega,Mexico
,VVG,Aerovilla,Colombia
,VLR,Aerolíneas Villaverde,Mexico
,VEJ,Aero Ejecutivos,Venezuela
,WAB,Aero Industries Inc,United States
,VNG,Aero Servicios Vanguardia,Mexico
,VAD,Aero Taxi Los Valles,Spain
,VMR,Aero Vilamoura,Portugal
,VLS,Aero Virel,Mexico
,XAA,Aeronautical Radio Inc,
,VUO,Aerovuelox,Mexico
,VTM,Aeronaves TSM,Mexico
,XPR,Air-Rep,United States
,XLL,Air Excel,Tanzania
,VAE,Air Evans,Spain
,WHY,Air Sorel,Canada
,WDR,Air Net Private Charter,United States
,XEC,Air Executive Charter,Germany
,VTY,Air Midwest (Nigeria),Nigeria
,VDR,Air Vardar,Macedonia
,WLR,Air Walser,Italy
,URA,Aircompany Rosavia,Ukraine
,XLB,Aircraft Performance Group,United States
,WLA,Airwaves Airlink,Zambia
,XFX,Airways Corporation of New Zealand,New Zealand
,WAY,Airways,France
,WGS,Airwings oy,Finland
,XAK,Airkenya,Kenya
,WPK,Air-Lift Associates,United States
,VAB,Airtrans Ltd,Russia
,URP,ARP 410 Airlines,Ukraine
,WPR,Auckland Regional Rescue Helicopter Trust,New Zealand
,URR,Aurora Airlines,Slovenia
,UST,Austro Aéreo,Ecuador
,WLT,Aviation Partners,United States
,VLV,Avialift Vladivostok,Russia
,VME,Aviación Comercial de América,Mexico
,VVA,Aviast Air,Russia
,WLV,Aviation North,United States
,VNT,Avient Air Zambia,Zambia
,VZR,Aviazur,France
,VID,Aviaprad,Russia
,VXX,Aviaexpress Aircompany,Ukraine
,XAM,AMR Services Corporation,United States
,XAO,Airline Operations Services,United States
,VAZ,Airlines 400,Russia
,VAM,Ameravia,Uruguay
,VBC,AVB-2004 Ltd,Bulgaria
,XKX,ASECNA,France
,XAT,AT and T Aviation Division,United States
,CAJ,Air Caraibes Atlantique,France
,CAO,Air China Cargo,China
,CBE,Aerovías Caribe,Mexico
,CBO,Aerotaxi del Cabo,Mexico
,CBS,Air Columbus,Ukraine
,CBV,Aereo Cabo,Mexico
,CDA,Aerocardal,Chile
,CDU,Aerotrans,Russia
,CDV,Airline Skol,Russia
,CFF,Aerofan,Spain
,CFR,Africa One,Democratic Republic of the Congo
,CFV,Aero Calafia,Mexico
,CGB,Air Cargo Belize,Belize
,CGV,Aero Clube Do Algarve,Portugal
,CGW,Air Great Wall,China
,CHJ,Aircompany Chaika,Ukraine
,CHR,Air Charter Services,Democratic Republic of the Congo
,CHV,Air Charter Professionals,United States
,CID,Asia Continental Airlines,Kazakhstan
,CKL,Aviation Charter Services,United States
,CLL,Aerovías Castillo,Mexico
,CLP,Aero Club De Portugal,Portugal
,CMF,Air Care Alliance,United States
,CNE,Air Toronto,Canada
,CNH,Aquila Air,United States
,CNU,Air Consul,Spain
,CNX,AllCanada Express,Canada
,CPF,Airtechservice,Ukraine
,CRJ,Air Cruzal,Angola
,CRP,Aerotransportes Corporativos,Mexico
,CRQ,Air Creebec,Canada
,CTA,Aero Charter and Transport,United States
,CTE,Air Tenglong,China
,CTR,Aerolíneas Centauro,Mexico
,CUO,Aerocuahonte,Mexico
,CWP,Australian Customs Service,Australia
,CYL,Air One Cityliner,Italy
,CYO,Air Transport,United States
,CYE,Aerocheyenne,Mexico
,DAP,Aerovías DAP,Chile
,DBA,Air Alpha,United States
,DBD,Air Niagara Express,Canada
,DEF,Aviation Defense Service,France
,DEG,Air Service Groningen,Netherlands
,DHM,Archer Aviation,United Kingdom
,DIC,Aeromedica,Mexico
,DIN,Aerodin,Mexico
,DJU,Air Djibouti,Djibouti
,DLS,Aero Modelo,Mexico
,DLU,Aerolíneas del Sur,Chile
,DMC,Aerodinamica de Monterrey,Mexico
,DMI,Aeroservicios Dinamicos,Mexico
,DML,Aerotaxis Dosmil,Mexico
,DNA,Aerodespachos de El Salvador,El Salvador
,DNC,Aerodynamics Málaga,Spain
,DNJ,Aerodynamics Incorporated,United States
,DRM,Airways Flight Training,United Kingdom
,DRO,Aeronaves Del Noreste,Mexico
,DSK,Aero Algarve,Portugal
,DST,Aex Air,United States
,EAT,Air Transport,Slovakia
,EBC,Aero Ejecutivo De Baja California,Mexico
,ECG,Aero Ejecutivos RCG,Mexico
,ECL,Aeronáutica Castellana,Spain
,ECM,Aerolíneas Comerciales,Mexico
,EDA,Aerolineas Nacionales Del Ecuador,Ecuador
,EET,Air Este,Spain
,EFC,Air Mana,France
,EJP,Aeroservicios Ejecutivos Corporativos,Mexico
,ALX,ALPI Jets,Austria
,END,Arrendadora y Transportadora Aérea,Mexico
,ENW,Aeronaves Del Noroeste,Spain
,EOL,Airailes,France
,EOM,Aero Ermes,Mexico
,EPL,Aero Transportes Empresariales,Mexico
,EPE,Aero Empresarial,Mexico
,ERG,Avianergo,Russia
,ERI,Aero Servicios Regiomontanos,Mexico
,ERK,Aerosec,Chile
,ERM,Aeromaan,Mexico
,ESB,Aereosaba,Mexico
,ESO,Avitat,United Kingdom
,ESU,Aerolíneas Ejecutivas Del Sureste,Mexico
,ESZ,Aeronáutica La Esperanza,Mexico
,ETE,Aero Siete,Mexico
,EUK,Air Atlanta Europe,United Kingdom
,EVE,Air Evex,Germany
,EVR,Aeronautical Academy of Europe,Portugal
,EXG,Air Exchange,United States
,FAC,Atlantic Helicopters,Denmark
,FAG,Argentine Air Force,Argentina
,FAN,AF-Air International,Angola
,FBW,Aviation Data Systems,United States
,FCI,Air Carriers,United States
,FCO,Aerofrisco,Mexico
,FCU,Alfa 4,Mexico
,FDS,African Medical and Research Foundation,Kenya
,FGT,Aero Freight,Mexico
,FIC,Aerosafin,Mexico
,FII,Aerodata Flight Inspection,Germany
,FIX,Airfix Aviation,Finland
,FLD,Air Falcon,Pakistan
,FLP,Aeroclub Flaps,Spain
,FMT,Air Fret De Mauritanie,Mauritania
,FNM,Avio Nord,Italy
,FNO,Aeroflota Del Noroeste,Spain
,FNX,Aero Fenix,France
,FPY,African Company Airlines,Democratic Republic of the Congo
,FRJ,Afrijet Airlines,Nigeria
,FRK,Afrika Aviation Handlers,Kenya
,FRQ,Afrique Chart'air,Cameroon
,FRT,Aerofreight Airlines,Russia
,FST,Aeros Limited,United Kingdom
,FTC,Air Affaires Tchad,Chad
,GAU,Aerogaucho,Uruguay
,GBJ,Aero Business Charter,Germany
,GCF,Aeronor,Spain
,GCK,Aerogem Cargo,Ghana
,GFO,Aerovías del Golfo,Mexico
,GGL,Aeronáutica,Angola
,GHL,Aviance UK,United Kingdom
,GHN,Air Ghana,Ghana
,GIL,African International Transport,Guinea
,GIZ,Africa Airlines,Guinea
,GLL,Air Gemini,Angola
,GLT,Aero Charter,United States
,GME,Aguilas Mayas Internacional,Guatemala
,GMM,Aerotaxis Guamuchil,Mexico
,GMS,Aeroservicios Gama,Mexico
,GOA,Alberta Government,Canada
,GRE,Air Scotland,Greece
,GRI,Air Cargo Center,São Tomé and Príncipe
,GRR,Agroar - Trabalhos Aéreos,Portugal
,GRX,Aircompany Grodno,Belarus
,GSP,Airlift Alaska,United States
,GSV,Agrocentr-Avia,Kazakhstan
,GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret,Turkey
,GTP,Aerotaxi Grupo Tampico,Mexico
,GUA,Aerotaxis de Aguascalientes,Mexico
,GVI,Air Victoria Georgia,Georgia
,HAT,Air Taxi,France
,HEI,Aerohein,Chile
,HGH,Atlantic Air Lift,France
,HID,Aviación Ejecutiva De Hildago,Mexico
,HJA,Air Haiti,Haiti
,HJT,Al Rais Cargo,United Arab Emirates
,HKH,Air-Invest,Hungary
,HMA,Air Tahoma,United States
,HMT,Air Nova,United Kingdom
